"연령별",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
"계",25012374,25765673,26513030,27261747,27984155,28704674,29435571,30130983,30838302,31544266,32240827,32882704,33505406,34103149,34692266,35280725,35848523,36411795,36969185,37534236,38123775,38723248,39326352,39910403,40405956,40805744,41213674,41621690,42031247,42449038,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876,51628117,51558034,51500029,51447504,51397309,51348388,51300095,51250905,51199019,51142848,51082971,51018619,50947857,50868691,50774771,50660209,50524704,50368731,50193281,49998451,49784159,49551362,49300187,49029906,48739019,48426874,48093212,47737283,47358532,46957061,46534046,46090617,45628975,45151722,44660957,44159136,43649074,43134131,42617053,42099995,41585534,41074913,40569298,40069340,39574865,39085966,38602940,38126347,37655867
"0 - 4세",4590812,4729444,4824275,4855180,4797702,4710919,4662734,4621997,4581311,4562049,4548177,4619581,4675505,4695313,4689282,4541059,4380101,4222842,4107110,4025181,4033727,4075892,4112359,4119715,4013144,3845533,3664739,3469862,3330753,3277842,3203203,3238866,3316174,3403133,3483283,3545704,3559073,3524075,3452808,3349173,3259783,3162858,3006361,2843122,2699556,2524288,2359807,2298242,2301398,2273634,2271803,2315573,2330921,2309327,2295016,2290097,2240110,2151219,2038736,1930344,1776616,1617527,1483112,1374609,1284066,1227951,1205329,1209187,1239406,1292411,1353877,1410583,1461369,1505287,1541870,1571194,1588356,1589298,1576194,1551398,1517234,1481234,1450073,1423957,1402367,1384085,1367366,1350238,1330826,1307620,1279698,1246805,1209345,1168297,1125112,1081564,1039577,1001057,967702,940830,921245,909173,904257,905630,912036,921971,933844,946124,957461,966765,973269
"5 - 9세",3350533,3600742,3829857,4100606,4358095,4550019,4686035,4783612,4812868,4745919,4629882,4524871,4457446,4413524,4422587,4478159,4540577,4611679,4626835,4584686,4458426,4316638,4168352,4056805,3990530,3967667,4017250,4083227,4109267,4021803,3843481,3644652,3440905,3281101,3191664,3166753,3188482,3269997,3367330,3459152,3521464,3533008,3494260,3416386,3321422,3233565,3136070,2976622,2809151,2671496,2497927,2336396,2276951,2279822,2252502,2251100,2297146,2308987,2288927,2276175,2278285,2229491,2141600,2024713,1908356,1755756,1596336,1467870,1364292,1277758,1222425,1200193,1204099,1234099,1286653,1347539,1403667,1453934,1497402,1533612,1562633,1579610,1580535,1567566,1543017,1509181,1473543,1442717,1416884,1395531,1377451,1360914,1343971,1324761,1301799,1274164,1241605,1204522,1163891,1121147,1078041,1036486,998366,965363,938774,919405,907471,902618,903989,910340,920181
"10 - 14세",2646238,2734833,2818491,2894588,3059841,3316802,3567290,3793884,4065204,4330264,4531308,4619637,4725521,4740548,4678202,4595185,4514152,4438586,4382084,4395448,4458622,4532506,4605889,4624448,4588086,4491342,4347844,4193288,4047425,3961486,3926908,3975202,4034347,4050294,3978499,3824371,3655722,3439030,3271379,3164569,3129982,3156586,3231727,3325398,3409535,3465407,3483708,3439518,3368274,3284134,3209709,3119491,2969359,2803088,2666175,2488686,2327307,2264077,2267391,2241561,2250969,2296616,2309760,2286695,2270158,2268551,2218636,2133675,2019393,1904703,1753051,1594603,1466974,1364052,1278048,1223083,1200998,1204870,1234713,1287013,1347600,1403436,1453444,1496689,1532713,1561587,1578472,1579396,1566512,1542105,1508441,1472987,1442331,1416641,1395402,1377423,1360982,1344131,1325028,1302191,1274702,1242316,1205429,1165014,1122500,1079623,1038286,1000368,967540,941094,921829
"15 - 19세",2418444,2385695,2406634,2480480,2538928,2608078,2697527,2782684,2858382,3016634,3269356,3499916,3723447,3960106,4174551,4334269,4455008,4546786,4604018,4587525,4519689,4411934,4331102,4304820,4339154,4407777,4481930,4549972,4581350,4550521,4442014,4297041,4138758,3996579,3909674,3896948,3953516,4031766,4060624,3999155,3842432,3615529,3391243,3216920,3108835,3080061,3103285,3184001,3282024,3368818,3428793,3468536,3435576,3373050,3289729,3222268,3132204,2982455,2820005,2685976,2518218,2345904,2278815,2281595,2257218,2257809,2302121,2317734,2296699,2281209,2279729,2230012,2145482,2031797,1917791,1766857,1609247,1482435,1380164,1294696,1240144,1218311,1222274,1252075,1304208,1364530,1420079,1469824,1512836,1548664,1577377,1594149,1595024,1582171,1557860,1524343,1489071,1458599,1433065,1411958,1394088,1377743,1360983,1341973,1319242,1291884,1259651,1222936,1182716,1140409,1097745
"20 - 24세",2322705,2364469,2396924,2391964,2391559,2375793,2345065,2367660,2442257,2502316,2569044,2640975,2729488,2780387,2874517,3074414,3336525,3544548,3743774,3936519,4093407,4264325,4370369,4393485,4347506,4274337,4245645,4207912,4177568,4208326,4342407,4429021,4504498,4531297,4491139,4391626,4247453,4077566,3938084,3853441,3854382,3933235,4011329,4045569,3970573,3788780,3587201,3380558,3226850,3153001,3139049,3175673,3268949,3370906,3457405,3511968,3559849,3529657,3498197,3439052,3392351,3278877,3099640,2914183,2772090,2597427,2439571,2385467,2393720,2369687,2369431,2412630,2427484,2406256,2390661,2389238,2340014,2256287,2143724,2030993,1881703,1725923,1600703,1499718,1415309,1361544,1340184,1344305,1373941,1425608,1485315,1540260,1589460,1631998,1667428,1695823,1712370,1713159,1700381,1676295,1643131,1608258,1578153,1552933,1532089,1514439,1498288,1481712,1462899,1440400,1413318
"25 - 29세",1933080,2028591,2117003,2198636,2248720,2278869,2318981,2352602,2349726,2350851,2335969,2297759,2309954,2378425,2458215,2535266,2588407,2647963,2727306,2862241,3072797,3299851,3499449,3713565,3917373,4097891,4206166,4291592,4346783,4342301,4326749,4264005,4216818,4203646,4237069,4300710,4344493,4424219,4441047,4418353,4352913,4224596,4064589,3941430,3853273,3843827,3927136,4018371,4056267,4001090,3834105,3664802,3464864,3315255,3259130,3269454,3279811,3368161,3493062,3587776,3645542,3672722,3624252,3562623,3483125,3422562,3333978,3181511,3009470,2870363,2693051,2532230,2475738,2482445,2457787,2457411,2500722,2515817,2494762,2479432,2478245,2429099,2345432,2232853,2119978,1970376,1814032,1688201,1586719,1501901,1447776,1426106,1430017,1459590,1511373,1571333,1626564,1676037,1718825,1754481,1783072,1799806,1800768,1788100,1764041,1730814,1695812,1665572,1640236,1619291,1601569
"30 - 34세",1556328,1609631,1668138,1737520,1809800,1897676,1994345,2080356,2157800,2206952,2237747,2268991,2306035,2296469,2277514,2245682,2236634,2278218,2355958,2446500,2525214,2595896,2682293,2787668,2937236,3089272,3344633,3529362,3756309,3966001,4134702,4259036,4345014,4376728,4353044,4296721,4257500,4212189,4162297,4181625,4247992,4332087,4421320,4473012,4450632,4360436,4226271,4078911,3954807,3856438,3877784,3967427,4058688,4086255,4045454,3871602,3688255,3491542,3360617,3306462,3307803,3302395,3380219,3483644,3561503,3613585,3659920,3627338,3571633,3493677,3430590,3339358,3184416,3010237,2869602,2691433,2530382,2473767,2480604,2456091,2455771,2499275,2514604,2493672,2478345,2477185,2428060,2344222,2231336,2118083,1968061,1811250,1684993,1583172,1498082,1443770,1422041,1426007,1455723,1507717,1567925,1623409,1673115,1716113,1751955,1780707,1797551,1798558,1785875,1761756,1728433
"35 - 39세",1370125,1378285,1393159,1411114,1461341,1503227,1558304,1624748,1702174,1777460,1866982,1948564,2029069,2108309,2166022,2209126,2251043,2293446,2310640,2300125,2279565,2269264,2298095,2369242,2462888,2552192,2564329,2647684,2703254,2805972,3042329,3273671,3489073,3712065,3924912,4092051,4204082,4312799,4357948,4324945,4273079,4228965,4187506,4154850,4216022,4267337,4361921,4449040,4509979,4466962,4387036,4241327,4087693,3949716,3854386,3892100,3964685,4054300,4095610,4051769,3866979,3678606,3474135,3322429,3258043,3262319,3272994,3359718,3463162,3538693,3589871,3635153,3601783,3545431,3467036,3403788,3312851,3158168,2984138,2843625,2665687,2504819,2448294,2455277,2430950,2430706,2474295,2489791,2469014,2453745,2452622,2403591,2319791,2206873,2093551,1943485,1786621,1660305,1558433,1473306,1418970,1397259,1401290,1431090,1483186,1543504,1599100,1648908,1691999,1727926,1756753
"40 - 44세",1125034,1153393,1192402,1245123,1285534,1318905,1328372,1345172,1366081,1420672,1467129,1518568,1575198,1642717,1720007,1820221,1913806,1995036,2069345,2132768,2178570,2226462,2274207,2289040,2276724,2262901,2259794,2282293,2337657,2419171,2477748,2545795,2608361,2676856,2796727,2995391,3217477,3405223,3625438,3860167,4020438,4155285,4271265,4342326,4312441,4248300,4184030,4156757,4135275,4244225,4306370,4409021,4483989,4527975,4479628,4398381,4230029,4078404,3951400,3847859,3872171,3941302,4028942,4055406,4003363,3827686,3651778,3455970,3305895,3240368,3244406,3254804,3341127,3444312,3519832,3571200,3616858,3584007,3528079,3450095,3387210,3296649,3142366,2968704,2828458,2650819,2490123,2433627,2440672,2416497,2416360,2460068,2475738,2455120,2439966,2438981,2390121,2306437,2193616,2080353,1930349,1773465,1647081,1545159,1459999,1405632,1383904,1387940,1417764,1469916,1530326
